Student_ID,Gender,Study_Hours,Attendance,Previous_Score,Sleep_Hours,Final_Score
S001,Female,6.1,92.6,52.7,6.6,35.0
S002,Male,5.9,82.5,59.9,6.8,37.1
S003,Female,4.1,90.7,65.9,6.5,35.0
S004,Female,3.4,92.7,75.5,6.4,41.7
S005,Female,1.8,72.4,70.8,6.6,35.0
S006,Male,6.5,95.8,81.8,6.6,51.5
S007,Female,4.2,91.1,75.7,6.2,53.1
S008,Female,,76.0,70.7,6.5,35.0
S009,Female,6.6,85.0,97.3,4.5,61.1
S010,Male,2.9,84.6,74.9,7.7,35.0
S011,Female,6.0,82.2,64.8,7.4,35.0
S012,Female,5.0,90.7,92.3,6.9,44.1
S013,Female,2.6,96.4,84.4,7.2,35.6
S014,Female,4.4,82.1,91.8,7.3,47.8
S015,Male,6.3,95.3,68.7,6.3,45.4
S016,Female,5.9,91.9,81.7,6.5,46.8
S017,Male,7.2,84.3,52.6,7.5,36.9
S018,Male,5.1,83.8,79.4,7.2,46.1
S019,Male,9.5,70.5,68.1,9.0,53.2
S020,Female,2.8,67.0,53.7,8.6,35.0
S021,Male,3.8,125.0,82.4,7.9,39.9
S022,Female,4.4,73.4,48.3,6.2,35.0
S023,Male,1.9,81.6,47.0,6.4,35.0
S024,Male,6.4,76.7,74.3,6.0,38.6
S025,Male,6.1,64.1,76.9,7.3,40.5
S026,Male,4.5,85.6,81.6,4.3,41.3
S027,Male,3.5,77.9,78.9,6.5,35.0
S028,Male,1.8,82.8,87.7,6.7,35.0
S029,Male,3.1,73.1,78.4,5.5,35.0
S030,Male,5.8,78.7,68.4,7.8,39.1
S031,Female,4.1,97.6,69.1,5.9,40.7
S032,Female,3.7,,66.6,7.3,35.0
S033,Male,5.4,87.5,73.5,9.8,42.6
S034,Male,6.6,69.3,56.8,5.4,35.0
S035,Male,5.0,100.0,74.1,6.9,48.2
S036,Female,5.1,100.0,69.0,6.6,37.2
S037,Male,7.0,95.6,73.3,6.4,49.3
S038,Female,4.8,90.3,73.3,7.8,43.0
S039,Female,3.9,82.2,40.6,8.1,35.0
S040,Female,5.7,86.4,59.2,7.8,35.0
S041,Female,4.0,92.5,68.7,6.3,35.0
S042,Female,3.8,75.7,69.3,9.4,35.0
S043,Male,6.8,77.6,73.1,5.2,35.0
S044,Male,4.0,65.3,73.6,6.0,41.7
S045,Male,0.5,74.3,88.2,7.2,35.0
S046,Male,-2.0,98.6,73.7,7.1,40.0
S047,Male,3.8,78.7,66.2,7.5,39.6
S048,Female,4.0,78.8,50.8,8.6,35.0
S049,Male,5.3,85.2,53.6,6.9,36.3
S050,Male,4.2,65.9,76.4,7.1,35.0
S051,Female,4.9,91.5,82.7,6.4,51.8
S052,Male,0.9,94.7,88.5,7.6,35.0
S053,Female,2.8,85.8,60.1,6.7,35.0
S054,Male,7.0,98.5,66.4,6.7,43.1
S055,Female,4.5,68.7,72.9,7.5,40.6
S056,Male,1.5,100.0,94.6,8.0,44.2
S057,Male,2.6,74.7,71.4,4.8,35.0
S058,Female,2.7,69.2,88.6,7.4,44.6
S059,Female,4.7,79.6,72.0,6.7,48.5
S060,Female,3.7,100.0,83.8,7.9,49.0
S061,Female,3.3,81.8,82.3,6.7,35.8
S062,Female,4.5,72.7,72.0,8.3,35.0
S063,Female,5.4,69.1,57.8,6.3,35.0
S064,Female,4.0,80.9,66.8,4.8,35.0
S065,Female,3.5,62.1,87.9,8.1,35.0
S066,Male,3.7,69.0,,6.2,38.9
S067,Male,5.1,97.4,64.8,5.4,48.7
S068,Female,4.5,95.2,65.9,7.0,41.7
S069,Male,5.9,80.7,49.2,6.8,35.0
S070,Male,2.4,77.3,87.3,7.8,41.1
S071,Male,3.1,82.6,80.6,7.9,46.8
S072,Male,5.9,100.0,68.4,7.1,52.1
S073,Female,3.1,86.0,72.4,6.1,35.0
S074,Male,7.0,91.1,43.9,7.3,37.1
S075,Female,7.0,80.0,64.2,7.2,40.3
S076,Male,7.0,82.6,86.0,7.6,55.8
S077,Male,2.9,88.5,81.8,6.1,40.6
S078,Male,4.6,83.3,74.0,6.6,35.0
S079,Female,3.6,63.0,69.8,7.5,35.0
S080,Male,6.2,94.8,79.6,8.2,50.8
S081,Female,7.6,75.8,66.6,8.0,36.4
S082,Male,6.1,100.0,50.0,7.1,39.5
S083,Female,4.5,88.9,69.9,6.5,35.0
S084,Male,3.8,82.7,74.8,7.4,35.0
S085,Female,5.7,86.4,83.5,5.9,53.4
S086,Female,2.3,80.9,52.7,6.2,35.0
S087,Male,5.5,77.1,68.5,8.5,42.0
S088,Female,2.9,84.1,69.1,7.4,35.0
S089,Male,5.6,90.8,56.8,6.7,110.0
S090,Male,4.2,77.4,75.9,7.8,36.9
S091,Male,3.8,75.8,79.0,8.3,39.2
